,date,weekday,remortgage,brexit,UKelection,gold_price,"P2Y-variable-(0, 60]","P2Y-variable-(60, 90]","P2Y-variable-(90, 100]","P2Y-fixed-(0, 60]","P2Y-fixed-(60, 90]","P2Y-fixed-(90, 100]","P3Y-variable-(0, 60]","P3Y-variable-(60, 90]","P3Y-variable-(90, 100]","P3Y-fixed-(0, 60]","P3Y-fixed-(60, 90]","P3Y-fixed-(90, 100]","P5Y-variable-(0, 60]","P5Y-variable-(60, 90]","P5Y-variable-(90, 100]","P5Y-fixed-(0, 60]","P5Y-fixed-(60, 90]","P5Y-fixed-(90, 100]","P10Y-variable-(0, 60]","P10Y-variable-(60, 90]","P10Y-variable-(90, 100]","P10Y-fixed-(0, 60]","P10Y-fixed-(60, 90]","P10Y-fixed-(90, 100]","P0Y-variable-(0, 60]","P0Y-variable-(60, 90]","P0Y-variable-(90, 100]","P0Y-fixed-(0, 60]","P0Y-fixed-(60, 90]","P0Y-fixed-(90, 100]",Total,Req_per_user,Total_conversions
51,2019-11-13,2.0,70.0,9.0,57,1463.45,32.0,18.0,0.0,328.0,346.0,34.0,10.0,6.0,0.0,53.0,54.0,3.0,3.0,4.0,1.0,112.0,132.0,22.0,1.0,0.0,0.0,37.0,26.0,0.0,0.0,2.0,0.0,13.0,9.0,0.0,1246.0,1.9258114374034003,95.0
37,2019-10-24,3.0,74.0,28.0,18,1488.85,22.0,18.0,1.0,630.0,698.0,76.0,2.0,2.0,0.0,103.0,107.0,17.0,9.0,2.0,0.0,299.0,277.0,24.0,4.0,0.0,0.0,69.0,43.0,5.0,1.0,0.0,0.0,26.0,16.0,1.0,2452.0,1.827123695976155,159.0
5,2019-09-10,1.0,87.0,22.0,14,1494.6,15.0,14.0,0.0,341.0,260.0,41.0,1.0,0.0,0.0,46.0,42.0,2.0,3.0,0.0,0.0,120.0,98.0,9.0,2.0,1.0,0.0,24.0,21.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,1056.0,1.7397034596375618,98.0
17,2019-09-26,3.0,57.0,23.0,7,1507.05,18.0,4.0,2.0,307.0,280.0,50.0,7.0,0.0,0.0,43.0,28.0,4.0,4.0,4.0,0.0,92.0,86.0,9.0,0.0,1.0,1.0,26.0,19.0,2.0,1.0,0.0,0.0,7.0,6.0,0.0,1001.0,1.731833910034602,83.0
8,2019-09-13,4.0,68.0,18.0,3,1506.3,8.0,20.0,1.0,280.0,268.0,35.0,2.0,0.0,0.0,40.0,36.0,1.0,0.0,3.0,0.0,105.0,79.0,4.0,1.0,0.0,0.0,19.0,31.0,2.0,0.0,0.0,0.0,19.0,3.0,1.0,958.0,1.7740740740740741,99.0
55,2019-11-19,1.0,58.0,9.0,71,1464.9,33.0,25.0,1.0,979.0,773.0,73.0,3.0,0.0,0.0,120.0,79.0,13.0,9.0,4.0,0.0,313.0,262.0,27.0,2.0,1.0,0.0,84.0,56.0,12.0,2.0,1.0,0.0,43.0,16.0,3.0,2934.0,1.8807692307692307,218.0
9,2019-09-16,0.0,68.0,20.0,8,1502.05,15.0,10.0,0.0,317.0,350.0,50.0,0.0,2.0,1.0,45.0,41.0,2.0,3.0,1.0,0.0,129.0,99.0,17.0,1.0,3.0,1.0,31.0,21.0,0.0,0.0,0.0,0.0,15.0,4.0,2.0,1160.0,1.8325434439178514,111.0
24,2019-10-07,0.0,59.0,21.0,5,1502.15,27.0,11.0,1.0,413.0,404.0,50.0,2.0,3.0,0.0,64.0,52.0,3.0,7.0,2.0,0.0,112.0,124.0,9.0,3.0,4.0,1.0,40.0,24.0,1.0,0.0,1.0,0.0,9.0,2.0,0.0,1369.0,1.8575305291723203,102.0
1,2019-09-04,2.0,73.0,40.0,33,1538.8,89.0,48.0,5.0,1538.0,1027.0,138.0,5.0,5.0,1.0,215.0,161.0,6.0,33.0,17.0,2.0,516.0,333.0,30.0,6.0,6.0,0.0,121.0,75.0,8.0,2.0,2.0,2.0,64.0,17.0,2.0,4474.0,1.7201076509034987,323.0
44,2019-11-04,0.0,47.0,14.0,58,1509.2,21.0,13.0,2.0,410.0,427.0,66.0,0.0,3.0,0.0,46.0,73.0,9.0,5.0,2.0,0.0,138.0,133.0,19.0,4.0,0.0,0.0,30.0,45.0,8.0,0.0,0.0,0.0,9.0,5.0,2.0,1470.0,1.8992248062015504,125.0
29,2019-10-14,0.0,66.0,24.0,8,1494.2,10.0,1.0,0.0,101.0,148.0,20.0,2.0,0.0,0.0,14.0,11.0,1.0,0.0,0.0,0.0,34.0,44.0,12.0,0.0,0.0,0.0,10.0,12.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,428.0,1.8212765957446808,81.0
56,2019-11-20,2.0,80.0,9.0,72,1475.7,36.0,9.0,3.0,510.0,423.0,44.0,4.0,3.0,0.0,73.0,41.0,6.0,5.0,2.0,0.0,180.0,114.0,18.0,1.0,2.0,1.0,69.0,22.0,2.0,1.0,0.0,0.0,25.0,5.0,1.0,1600.0,2.0202020202020203,130.0
6,2019-09-11,2.0,33.0,22.0,9,1493.65,11.0,4.0,0.0,298.0,319.0,37.0,1.0,0.0,0.0,39.0,43.0,3.0,2.0,0.0,0.0,98.0,94.0,10.0,2.0,0.0,0.0,20.0,24.0,7.0,0.0,0.0,0.0,12.0,5.0,0.0,1029.0,1.7411167512690355,110.0
35,2019-10-22,1.0,38.0,51.0,15,1487.45,31.0,17.0,1.0,1035.0,1155.0,118.0,7.0,4.0,0.0,120.0,129.0,7.0,3.0,5.0,0.0,386.0,375.0,27.0,2.0,0.0,0.0,71.0,54.0,3.0,1.0,0.0,0.0,43.0,18.0,1.0,3613.0,1.7615797172111165,206.0
48,2019-11-08,4.0,46.0,10.0,56,1466.85,25.0,14.0,0.0,704.0,584.0,61.0,9.0,1.0,0.0,112.0,108.0,7.0,14.0,2.0,1.0,287.0,298.0,32.0,1.0,0.0,0.0,74.0,67.0,3.0,1.0,0.0,0.0,49.0,18.0,1.0,2473.0,1.8318518518518518,161.0
41,2019-10-30,2.0,56.0,22.0,100,1490.15,28.0,6.0,0.0,394.0,485.0,44.0,3.0,1.0,0.0,71.0,58.0,5.0,0.0,2.0,0.0,131.0,148.0,9.0,0.0,0.0,0.0,65.0,25.0,2.0,3.0,0.0,0.0,15.0,6.0,0.0,1501.0,1.9194373401534526,112.0
31,2019-10-16,2.0,53.0,37.0,4,1482.55,26.0,10.0,1.0,295.0,374.0,48.0,3.0,3.0,0.0,44.0,45.0,1.0,3.0,1.0,0.0,103.0,120.0,4.0,2.0,1.0,0.0,23.0,24.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,1141.0,1.9740484429065743,122.0
50,2019-11-12,1.0,62.0,10.0,62,1455.0,17.0,11.0,0.0,354.0,354.0,33.0,4.0,1.0,0.0,43.0,61.0,2.0,3.0,4.0,0.0,142.0,103.0,10.0,1.0,0.0,0.0,34.0,38.0,1.0,1.0,0.0,0.0,9.0,3.0,0.0,1229.0,1.911353032659409,85.0
43,2019-11-01,4.0,39.0,17.0,53,1509.85,35.0,28.0,1.0,416.0,410.0,69.0,0.0,5.0,0.0,60.0,63.0,11.0,2.0,6.0,0.0,161.0,141.0,16.0,3.0,0.0,0.0,53.0,40.0,5.0,0.0,0.0,0.0,16.0,7.0,1.0,1549.0,1.975765306122449,103.0
14,2019-09-23,0.0,63.0,20.0,7,1519.5,32.0,18.0,1.0,510.0,464.0,59.0,0.0,0.0,0.0,54.0,50.0,3.0,2.0,1.0,1.0,145.0,154.0,14.0,3.0,0.0,0.0,35.0,29.0,3.0,1.0,0.0,0.0,14.0,4.0,0.0,1597.0,1.6989361702127659,154.0
47,2019-11-07,3.0,55.0,11.0,63,1484.1,24.0,5.0,0.0,359.0,261.0,22.0,1.0,0.0,0.0,46.0,33.0,6.0,1.0,1.0,0.0,136.0,93.0,14.0,1.0,1.0,0.0,37.0,17.0,1.0,1.0,0.0,0.0,17.0,3.0,0.0,1080.0,1.815126050420168,93.0
26,2019-10-09,2.0,25.0,26.0,5,1503.4,12.0,17.0,2.0,381.0,340.0,47.0,4.0,0.0,0.0,73.0,54.0,2.0,3.0,0.0,0.0,156.0,108.0,12.0,2.0,2.0,0.0,42.0,28.0,4.0,1.0,1.0,0.0,16.0,12.0,0.0,1319.0,1.9984848484848485,184.0
0,2019-09-03,1.0,59.0,41.0,30,1532.45,11.0,10.0,2.0,327.0,330.0,42.0,2.0,0.0,0.0,30.0,36.0,2.0,3.0,4.0,0.0,89.0,95.0,9.0,0.0,0.0,0.0,25.0,21.0,1.0,1.0,0.0,0.0,11.0,2.0,0.0,1053.0,1.7347611202635915,127.0
3,2019-09-06,4.0,34.0,24.0,17,1504.95,23.0,19.0,3.0,377.0,345.0,40.0,3.0,0.0,0.0,49.0,33.0,1.0,1.0,0.0,0.0,121.0,115.0,10.0,0.0,0.0,0.0,40.0,22.0,2.0,0.0,0.0,0.0,15.0,4.0,2.0,1225.0,1.8121301775147929,119.0
18,2019-09-27,4.0,69.0,19.0,9,1496.15,16.0,13.0,0.0,292.0,258.0,34.0,3.0,2.0,0.0,29.0,46.0,6.0,4.0,0.0,0.0,109.0,121.0,15.0,1.0,0.0,0.0,27.0,20.0,1.0,0.0,0.0,0.0,7.0,5.0,1.0,1010.0,1.8397085610200363,65.0
19,2019-09-30,0.0,70.0,19.0,7,1487.6,21.0,12.0,6.0,336.0,360.0,43.0,1.0,2.0,0.0,47.0,40.0,3.0,3.0,1.0,0.0,100.0,88.0,7.0,1.0,1.0,0.0,33.0,10.0,6.0,0.0,0.0,0.0,8.0,3.0,0.0,1132.0,1.8557377049180328,96.0
53,2019-11-15,4.0,46.0,9.0,54,1465.6,21.0,9.0,0.0,276.0,263.0,14.0,2.0,1.0,0.0,32.0,26.0,1.0,3.0,2.0,0.0,72.0,79.0,8.0,2.0,2.0,0.0,20.0,10.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,857.0,1.8630434782608696,133.0
62,2019-11-28,3.0,55.0,8.0,68,1457.55,10.0,17.0,0.0,395.0,365.0,36.0,1.0,1.0,1.0,38.0,36.0,1.0,2.0,1.0,0.0,98.0,95.0,5.0,2.0,1.0,0.0,36.0,23.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1173.0,1.853080568720379,100.0
12,2019-09-19,3.0,34.0,23.0,8,1498.4,39.0,6.0,0.0,439.0,325.0,44.0,2.0,1.0,0.0,57.0,41.0,10.0,4.0,1.0,0.0,160.0,132.0,15.0,2.0,0.0,0.0,41.0,42.0,4.0,1.0,0.0,0.0,18.0,9.0,0.0,1393.0,1.9030054644808743,107.0
7,2019-09-12,3.0,58.0,21.0,8,1502.95,10.0,11.0,1.0,307.0,268.0,29.0,1.0,1.0,0.0,27.0,32.0,5.0,3.0,1.0,0.0,92.0,93.0,8.0,0.0,0.0,0.0,24.0,15.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,939.0,1.7229357798165137,91.0
32,2019-10-17,3.0,76.0,71.0,6,1484.45,19.0,3.0,0.0,344.0,307.0,40.0,2.0,0.0,0.0,43.0,34.0,15.0,3.0,3.0,1.0,100.0,124.0,21.0,3.0,1.0,0.0,24.0,20.0,1.0,1.0,2.0,0.0,6.0,4.0,1.0,1122.0,1.76138147566719,130.0
61,2019-11-27,2.0,56.0,8.0,86,1459.8,37.0,5.0,2.0,500.0,355.0,31.0,4.0,0.0,0.0,51.0,45.0,6.0,2.0,0.0,0.0,139.0,96.0,9.0,3.0,3.0,0.0,53.0,20.0,1.0,1.0,0.0,0.0,16.0,2.0,0.0,1381.0,1.8218997361477574,90.0
49,2019-11-11,0.0,58.0,12.0,50,1465.5,13.0,20.0,0.0,316.0,330.0,36.0,4.0,4.0,0.0,25.0,32.0,1.0,7.0,2.0,0.0,137.0,112.0,5.0,0.0,0.0,0.0,23.0,36.0,1.0,0.0,0.0,0.0,9.0,7.0,0.0,1120.0,1.8697829716193657,89.0
21,2019-10-02,2.0,51.0,23.0,5,1484.05,19.0,20.0,0.0,359.0,350.0,48.0,1.0,0.0,0.0,64.0,41.0,1.0,0.0,5.0,0.0,123.0,122.0,12.0,1.0,2.0,0.0,30.0,25.0,3.0,0.0,0.0,0.0,16.0,10.0,0.0,1252.0,1.8411764705882352,115.0
27,2019-10-10,3.0,71.0,24.0,5,1508.2,24.0,5.0,0.0,261.0,252.0,40.0,4.0,1.0,0.0,34.0,17.0,1.0,3.0,4.0,0.0,85.0,79.0,1.0,2.0,0.0,1.0,36.0,15.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,876.0,1.9002169197396963,101.0
42,2019-10-31,3.0,62.0,21.0,63,1506.4,16.0,9.0,4.0,375.0,350.0,37.0,2.0,1.0,0.0,65.0,35.0,4.0,6.0,2.0,0.0,115.0,115.0,13.0,4.0,1.0,0.0,39.0,26.0,2.0,0.0,0.0,0.0,10.0,5.0,0.0,1236.0,1.8017492711370262,99.0
13,2019-09-20,4.0,49.0,17.0,4,1504.1,21.0,11.0,0.0,361.0,360.0,46.0,2.0,4.0,0.0,59.0,44.0,2.0,3.0,4.0,0.0,122.0,116.0,6.0,3.0,0.0,0.0,37.0,34.0,1.0,1.0,0.0,0.0,19.0,10.0,1.0,1267.0,1.7572815533980584,115.0
23,2019-10-04,4.0,22.0,20.0,4,1509.5,33.0,16.0,3.0,489.0,475.0,47.0,6.0,2.0,0.0,67.0,50.0,4.0,3.0,1.0,0.0,155.0,170.0,20.0,0.0,1.0,0.0,35.0,27.0,1.0,0.0,1.0,0.0,10.0,11.0,0.0,1627.0,1.749462365591398,118.0
15,2019-09-24,1.0,58.0,26.0,10,1520.25,21.0,14.0,1.0,423.0,386.0,55.0,4.0,1.0,0.0,49.0,47.0,10.0,7.0,3.0,0.0,174.0,109.0,17.0,0.0,0.0,0.0,28.0,19.0,0.0,2.0,0.0,0.0,27.0,4.0,0.0,1401.0,1.8337696335078535,136.0
30,2019-10-15,1.0,75.0,30.0,7,1494.75,14.0,5.0,0.0,255.0,275.0,30.0,1.0,3.0,0.0,38.0,25.0,0.0,1.0,1.0,0.0,121.0,93.0,6.0,2.0,1.0,0.0,17.0,16.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,910.0,1.773879142300195,105.0
28,2019-10-11,4.0,62.0,21.0,5,1498.35,13.0,5.0,1.0,184.0,155.0,28.0,0.0,0.0,0.0,25.0,21.0,2.0,1.0,0.0,0.0,70.0,54.0,1.0,0.0,0.0,0.0,20.0,14.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,606.0,1.7363896848137537,103.0
20,2019-10-01,1.0,38.0,21.0,8,1466.1,17.0,21.0,0.0,342.0,312.0,43.0,4.0,1.0,0.0,39.0,38.0,4.0,5.0,1.0,0.0,136.0,116.0,15.0,1.0,1.0,1.0,36.0,43.0,0.0,1.0,0.0,0.0,11.0,6.0,0.0,1194.0,1.865625,124.0
45,2019-11-05,1.0,54.0,12.0,51,1504.6,21.0,13.0,3.0,372.0,375.0,46.0,1.0,2.0,0.0,48.0,38.0,4.0,0.0,0.0,0.0,139.0,112.0,8.0,1.0,2.0,0.0,29.0,21.0,1.0,3.0,0.0,0.0,14.0,7.0,0.0,1260.0,1.7524339360222532,116.0
59,2019-11-25,0.0,65.0,7.0,86,1459.45,24.0,12.0,1.0,414.0,368.0,32.0,2.0,0.0,0.0,45.0,51.0,5.0,2.0,3.0,0.0,145.0,104.0,16.0,5.0,3.0,0.0,28.0,23.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,1305.0,1.872309899569584,128.0
